x	y	n	trajectory
116	287	4	44382,44610,44829,45052,45275,45502,45728,45954,46182,46402,46630,46858,47085,47313,47537,|47998,48227,48460,48693,48919,49152,49380,49602,49828,50059,50284,50511,50746,50977,51203,51431,51656,51884,52118,52344,52576,52804,53033,53265,53497,53719,53951,54183,54406,54638,54866,55095,55327,55559,55790,56020,|59979,60212,60451,|63423,63661,
116	300	1	35170,35400,
117	101	2	1085, 1279, 1485, 1681, 1878, 2084, 2283, 2485, 2693, 2908, 3119, 3327, 3539, 3748, 3959, 4166, 4372, 4584, 4795, 5003, 5212, 5419, 5629, 5841, 6058, 6277, 6490, 6703, 6920, 7131, 7339, 7551, 7762, 7975, 8184, 8395, 8609, 8827, 9036, 9242, 9450, 9660, 9869,10079,10288,10502,10713,10923,11137,11351,11565,11781,11992,12202,12412,12623,12828,13043,13251,13462,13668,13877,14085,14303,14507,14716,14927,15134,15345,15550,15761,15975,16187,16402,16613,16826,17038,17255,17472,17687,17904,18121,18337,18546,18760,18978,19191,19409,19622,19837,20057,20271,20490,20717,20935,21157,21378,21593,21819,22038,22261,22480,22700,22929,23155,23378,|63424,63662,
117	102	2	25812,26035,|64352,64583,
117	218	1	31578,31791,32002,32219,32445,32666,
117	219	1	33114,33335,33563,33795,34026,34256,34490,34719,34942,35167,35398,35623,35847,36075,36300,36520,36739,36966,37201,37431,37653,37880,38114,38346,38567,38792,39017,39241,39465,39688,39912,40135,40355,40577,40799,41022,41246,41466,41686,41905,42123,42351,42579,
117	303	8	12203,12413,12624,|25813,26036,26257,26478,26700,26925,27147,27367,27588,27811,28036,28251,28476,28698,28924,29152,29380,29605,29827,30052,30275,30501,30723,30938,31150,31363,31579,31792,32005,32222,32447,32669,32890,33115,33338,33566,33798,34030,|42807,43035,43260,43492,|45276,45503,45730,45955,46183,46403,46631,|47538,47769,47999,48228,48461,|58104,58332,58565,58805,59040,59272,|60213,60452,|64353,64585,64816,
118	27	1	33567,33797,34029,
118	96	2	53953,54184,|54641,54867,55096,
118	100	1	288,495,697,899,
118	303	2	13044,13252,13463,13669,13878,14086,14304,14508,14717,14928,15135,15346,15551,15762,15977,16188,16403,16614,16827,17039,17256,17473,17688,17905,18122,18338,18547,18761,18979,19192,19410,19623,19838,20058,20272,20491,20718,20936,21158,21379,21594,21820,22039,22262,22481,22701,22930,23156,23379,23598,23821,24042,24265,24483,24704,24920,25142,|55791,56022,
119	96	5	27812,28037,28252,28477,28699,28925,29154,29381,29606,29828,30053,30276,30502,30724,30940,31151,31364,31580,31793,32006,32223,32448,32671,32891,33116,33339,33568,33799,34031,34260,34492,34723,34945,35171,35401,35626,35850,36077,36302,36522,36742,36969,37204,37433,37656,37883,38117,|39244,39467,39691,39916,40137,40359,40581,40801,41024,41248,41468,41689,41907,42125,42352,42581,42808,|43261,43493,43715,43936,44162,44383,44613,44830,45053,45278,45504,45731,45956,46184,46404,46632,46860,47087,47314,47540,47770,48000,48230,48462,48695,48920,49153,49381,49603,49830,50060,50285,50512,50747,50978,51205,51432,51657,51885,52119,52345,52577,52805,53034,53266,53498,|55560,55792,56023,56253,56489,56722,56958,57189,57414,57645,57871,|58333,58566,58806,59041,59273,59505,59740,59980,60214,60453,
119	106	1	5842,6062,6280,6493,6707,6922,
119	108	1	9662,9870,
120	29	1	21597,21823,
120	89	1	6061,6279,6495,
120	93	1	3329,3541,3750,3962,4167,
120	107	1	7552,7763,7978,8186,8397,8612,8830,9038,
120	157	3	8187, 8398, 8613, 8831, 9041, 9245, 9453, 9665, 9873,10082,10292,10505,10716,10926,11140,11355,11568,11784,11995,12206,12416,12627,12831,13046,13255,13466,13672,13881,14089,14307,14511,14720,14931,15138,15349,15554,15765,15980,16191,16405,16617,16830,17042,17259,17477,17691,17907,18125,18341,18550,18764,18982,19195,19413,19626,19841,20061,20275,20494,20721,20939,21161,21382,21598,21824,22042,22265,22484,22704,22933,23159,23382,23601,23824,24045,24268,24486,24707,24923,25145,25371,25591,25816,26039,26261,26481,26703,26928,27150,27370,27591,27815,28040,28255,28480,28702,28928,29157,29384,29609,29831,30056,30279,30505,30727,30943,31154,31367,31583,31796,32009,32226,32451,32674,32894,33119,33342,33571,33802,34034,34263,34495,34726,34948,35174,35404,35629,35853,36080,36305,36525,36745,36972,37207,37436,37659,37886,38120,38351,38572,38797,39021,39247,39470,39694,39919,40140,40362,40584,40804,41027,41251,41471,41692,41910,42128,42355,42584,42811,43038,43264,43496,43718,43939,44165,44386,44616,44833,45056,45281,45507,45734,45959,46187,46407,46635,46863,47090,47317,47543,47773,48003,48233,48465,48698,48923,49156,49384,49606,49833,50063,50288,50515,50750,50981,51208,51435,51660,51888,52122,52348,52580,52808,53037,53269,53501,53724,53956,54187,54409,|54870,55099,55330,55563,55795,56026,56256,56493,56725,56961,57192,57417,57648,57874,58107,58336,58569,58809,59044,59276,59508,59743,59983,60217,60456,60688,60916,61150,61378,61602,61827,62051,62279,62511,62737,62970,63198,63428,|64124,64357,64589,64820,65052,65292,65526,
120	179	1	4375,4586,
120	287	7	3122,3332,3544,|5217,5424,|8189,8401,|13048,13257,|14090,14309,14513,14721,14932,15139,15351,|20940,21162,21383,21599,21825,22043,22266,22485,22705,22934,23160,23383,23602,23825,24046,24269,24487,24708,24926,25146,25372,25592,25817,26042,26262,26482,26704,26929,27151,|60458,60691,60918,61152,
120	288	6	36973,37210,|47775,48006,|56728,56963,57195,57419,|59511,59745,59985,|61604,61830,62053,62282,62513,|62972,63200,63430,63669,63897,
121	35	1	24924,25147,25373,25593,25818,26040,26263,26483,26705,26930,27152,27371,27592,27816,28041,28256,28482,28704,28930,29158,29385,29610,29832,30057,30280,30506,30728,30944,31155,31368,31584,31797,32010,32227,32453,32675,32895,33120,33343,33572,33803,34036,34264,34496,34728,34949,35175,35405,35630,35854,36081,36307,36526,36746,36974,37209,37437,37660,37888,38122,38353,38574,38799,39023,39249,39472,39696,39921,40142,40364,40586,40806,41030,41253,41474,41694,41912,42130,42359,42587,42813,43040,43267,43498,43720,43941,44168,44388,44619,44835,45058,45283,45509,45736,45962,46190,46410,46637,46865,47092,47319,47545,47776,48007,48235,48467,48700,48926,49158,49386,49609,49835,50065,50291,50517,50753,50983,51210,51438,51663,51891,52124,52350,52582,52810,53039,53272,53503,53726,53958,54189,54412,54645,54872,55102,55333,55565,55797,56028,56259,56496,56729,56964,57196,57420,57651,57876,58109,58338,58572,58812,59047,59279,59512,59746,59986,60219,60459,60692,60919,61153,61381,61605,61831,62054,62283,62514,62740,62973,63201,
121	36	1	63670,63898,64127,64360,64591,64822,65055,
121	157	1	4377,4588,4799,5008,5215,5423,5631,5845,6064,6281,6496,6708,6923,7134,
121	195	1	35855,36082,36306,36527,36747,36975,37208,37438,37661,37889,38123,38354,38575,38800,39024,39250,39473,39697,39922,40143,40365,40587,40807,41028,41254,41472,41695,41913,42131,42356,42585,42814,43041,43265,43499,43721,43942,44166,44389,44617,44836,45059,45284,45510,45737,45960,46188,46408,
121	287	3	1883,2088,2286,2489,2698,|7343,7554,7767,|17261,17478,17692,17908,18127,18342,18551,
121	288	3	8833,9040,|10294,10506,10718,10927,11142,11357,11570,11785,|28258,28481,28703,28929,
122	207	1	18766,18984,
124	66	1	19197,19416,19629,19845,20064,20278,20498,20724,20944,
124	81	1	295,501,
124	187	1	48238,48470,48703,48928,49161,49389,49611,49838,50069,50294,50521,
125	42	1	56264,56501,56734,
125	62	5	18129,18345,18554,18769,18986,19199,19418,19630,19847,20066,20280,20499,20726,20946,21167,21386,21603,21829,22046,22270,22489,22709,22937,23164,23386,23605,23828,24049,24273,24490,24712,24928,25151,25377,25596,25821,26044,26267,26487,26708,26934,27156,27374,27595,27819,28044,28260,28485,28708,28933,29161,29389,29614,29835,30060,30283,30509,30731,30947,31158,31371,31587,31801,32013,32231,32456,32679,32899,33124,33346,33576,33806,34038,34268,34499,34731,34953,35178,35407,35633,35857,36084,36309,36529,36750,36977,37212,37441,37664,37891,38125,38357,38577,38802,39026,39252,39475,39700,39924,40145,40367,40589,40809,41032,41256,41476,41697,41915,42133,42361,42589,42816,43043,43269,43501,43723,43944,44171,44392,44621,44838,45061,45286,45512,45739,45965,46192,46412,46639,46868,47095,47322,47548,47780,48009,48240,48471,48705,48929,49162,49391,49612,49840,50070,50295,50523,50756,50988,51215,51442,51667,51895,|53276,53508,|55570,55802,|57881,58115,|58576,58816,
125	63	2	59516,59751,59991,60224,60464,60696,60924,|61610,61835,
125	155	2	12834,13052,13259,13469,13675,13884,14093,14311,14515,14724,14935,15142,|21602,21828,22047,22269,22488,22708,22938,23163,23387,23606,23829,24050,24274,24491,24711,24929,25150,25376,25597,25822,26045,26266,26488,26709,26933,27155,27375,27596,27820,28045,28261,28486,28707,28934,29162,29388,29615,29836,30061,30284,30510,30732,30948,31159,31372,31588,31800,32014,32230,32457,32678,32898,33123,33347,33575,33807,34039,34267,34500,34732,34954,35179,35408,35632,35858,36085,
125	156	2	15557,15769,15983,16195,16409,16620,16833,17045,17263,17481,|17912,18130,18344,18553,18768,18985,19198,19417,19631,19846,20065,20279,20500,20725,20945,21166,
126	62	2	62288,62519,62744,|65300,65533,
126	103	1	29837,30062,30285,30511,
128	185	2	53732,53964,54195,|63903,64132,
128	186	1	64597,64828,65060,65301,
129	185	6	4173, 4381, 4593, 4803, 5012, 5222, 5428, 5636, 5849, 6069, 6286, 6501, 6712, 6929, 7138, 7348, 7559, 7770, 7983, 8193, 8405, 8620, 8836, 9045, 9249, 9459, 9669, 9878,10086,10297,10510,10723,10931,11146,11360,11575,11789,12000,12211,12420,12630,12835,13053,13260,13470,13676,13885,14094,14312,14516,14725,14936,15143,15353,15558,15770,15984,16196,16410,16621,16834,17046,17264,17482,17695,17913,18131,18346,18555,18770,18987,19200,19419,19632,19848,20067,20281,20501,20727,20947,21168,21387,21604,21830,22048,22271,22490,22710,22939,23165,23388,23607,23830,24051,24275,24492,24713,24930,25152,25378,25598,25823,26046,26268,26489,26710,26935,27157,27376,27597,27822,28046,28262,28488,28709,28935,29163,29390,29616,29838,30063,30286,30512,30733,30949,31160,31373,31589,31802,32015,32232,32459,32680,32900,33125,33348,33577,33808,34040,34269,34501,34733,34955,35180,35409,35634,35859,36086,36310,36530,36752,36979,37214,37442,37666,37893,38127,38358,38579,38805,39028,39254,39477,39702,|41478,41699,|42363,42591,|43045,43271,43503,43725,43946,44172,44393,44623,|51669,51897,|52588,52816,53045,53278,
130	272	1	32681,32901,33126,33349,33578,33809,34041,34270,34502,34734,34956,35181,35410,35635,35860,36087,36311,36531,36753,36980,37215,37443,37667,37894,38128,38359,38580,38806,39029,
132	112	1	62748,62981,63210,
132	113	18	5638,5851,6071,|7561,7772,7985,8195,8407,8622,8838,9047,9251,9461,9671,9881,|12213,12422,|16623,16836,17048,17266,17484,17698,17915,18133,18348,18557,18772,18989,19202,|19850,20069,20283,20503,20729,20949,21170,|21606,21832,22050,22273,22492,22712,22941,23167,23390,23609,23832,24053,24277,24494,24715,24932,25154,25380,25600,25825,|26270,26491,26712,26937,|28711,28937,29165,29393,29618,29840,|30288,30514,30735,|31162,31375,31591,31804,|32234,32460,32682,32902,33127,33350,33579,33810,34042,34271,34503,34735,34957,35182,35411,35636,35861,36088,36312,36532,36754,36981,37216,37444,37668,|38129,38360,38581,38807,39030,|41035,41259,|43727,43948,44174,44395,44625,44841,45065,|45742,45967,46196,46415,46643,46871,47098,47325,47551,47782,48014,48243,48475,48708,48934,49166,49395,49616,49844,50074,50299,50526,50761,50992,51219,51446,51672,51900,52132,52358,52591,52819,53048,53281,53513,53735,53967,54198,54420,54653,54880,55110,55341,55575,55806,56036,56269,56504,56737,|58820,59055,59286,59521,59755,59995,60229,60468,60700,60928,61162,61388,61615,|62062,62292,|64135,64369,64600,
133	56	1	51220,51447,51673,51901,52133,52359,52592,52820,53049,53282,53512,
135	105	7	10725,10933,11148,11362,11577,11792,12002,|16412,16624,|17049,17267,17485,|18558,18773,|19634,19851,20070,20284,20504,20730,20950,21171,21389,21608,21833,22051,22274,22493,22713,22942,23168,23391,23610,23833,24054,24278,24495,24716,24933,25155,25381,25601,25826,26048,26271,26492,26713,26938,27160,27378,27599,27824,28049,28264,28490,28712,28938,29166,29394,29619,29841,30065,30289,30515,30736,30951,31163,31376,31592,31805,32017,32235,32461,32683,32903,33128,33351,33580,33811,34043,34272,34504,34736,34958,35184,35413,35638,35863,36090,|37218,37446,|43048,43275,
135	109	6	55114,55345,|57889,58122,|58583,58824,|61842,62066,62294,|62985,63214,|65067,65307,
135	136	2	48246,48478,48711,48938,49169,49398,49619,49847,50077,50302,50529,50764,50995,51223,51450,51676,51903,52136,52362,52595,52823,53053,53286,53517,53739,53971,54202,54424,54657,|56040,56273,
135	302	4	15355,15563,15775,15989,16199,16416,|21172,21393,21609,21834,22054,22275,|22714,22946,|25382,25602,
136	108	4	1293,1496,|1891,2096,2294,2497,2705,2920,3130,3339,3551,3761,3971,4177,4385,4597,4807,5015,|5431,5640,5853,|6289, 6504, 6715, 6934, 7141, 7352, 7563, 7774, 7987, 8197, 8409, 8624, 8840, 9049, 9253, 9463, 9673, 9883,10089,10300,10513,10726,10934,11149,11363,11578,11793,12003,12214,12423,12632,12838,13055,13263,13472,13678,13888,14097,14315,14518,14728,14938,15145,15356,15560,15772,15986,16200,16413,16625,16837,17050,17268,17487,17700,17916,18134,18349,18559,18774,18990,19204,19421,19635,19853,20071,20285,20505,20731,20951,21173,21390,21610,
136	109	2	22276,22494,22715,22943,23170,|24279,24496,24717,24934,25156,25383,25603,25827,26049,26272,26493,26714,26939,27161,27379,27600,27825,28050,28265,28491,28713,28939,29168,29395,29620,29842,30066,30290,30516,30737,30952,31164,31377,31593,31806,32018,32236,32462,32684,32904,33129,33352,33581,33812,34044,34273,34505,34737,34959,35186,35414,35639,35864,36091,36314,36535,36756,36983,37219,37448,37670,37896,38133,38362,38583,38809,39032,39256,39479,39705,39928,40151,40371,40594,40813,41037,41261,41481,41702,41920,42137,42367,42594,42820,43049,43276,43506,43729,43950,44176,44397,44627,44843,45068,45290,45517,45745,45970,46199,46418,46646,46874,
136	132	1	54425,54658,54884,55115,55346,55579,55812,56042,56274,56508,56741,56976,57207,57434,57661,57890,58123,58351,58585,58826,59059,59291,59525,59761,60000,60235,60473,60705,60933,61168,61393,61620,61844,62068,62299,62527,
136	194	2	48939,49170,49399,49620,|50078,50303,50530,
136	195	7	44844,45067,|48247,48479,|51905,52137,52363,52596,52824,53054,53287,53518,53740,53972,54203,54426,54659,|55347,55580,55811,56041,|56509,56742,56977,57208,57435,57662,|58124,58352,58584,58827,|59292,59526,59759,
136	253	5	6291,6506,|6936,7143,7354,7565,7776,7989,|10091,10302,|10728,10937,11151,11365,11580,11795,|12216,12425,12634,12841,13057,13265,13474,13680,
136	255	10	4599,4809,|5227,5433,5642,5855,6074,|8199,8411,8626,8842,9051,9255,9465,9675,9885,|20953,21175,|25829,26051,26274,|28715,28941,29167,29397,29622,29844,30068,30292,|33583,33814,|34275,34507,|34961,35185,|38585,38811,
136	256	6	12005,12217,|13890,14099,14317,14520,14730,14940,15147,15358,15562,15774,15988,16202,16415,16627,16839,17052,17270,17489,17702,17918,18136,18351,18561,18776,18992,19206,19423,19637,19855,20073,20288,20507,|21612,21836,22053,22278,22496,22717,22945,23172,23393,23612,23836,24056,24281,24498,24719,24936,25158,25385,|26716,26941,|37672,37898,38135,|39258,39481,39707,39930,40153,40373,40595,40814,41038,41262,41482,41703,41921,42138,42368,42595,42821,43050,43277,43507,43730,43951,44177,44398,44628,44845,45069,45291,45518,45746,45972,46200,46419,46647,46875,47101,47328,47554,47785,48017,48248,48480,48712,48940,49171,49400,49621,49848,50079,50304,50531,50765,50996,51224,51451,51677,51906,52138,52364,52597,52825,53055,53288,53519,53741,53973,54204,54427,54660,54885,55116,55348,55581,55813,
136	302	3	8412, 8627, 8843, 9052, 9256, 9466, 9676, 9886,10092,10303,10516,10729,10936,11152,11366,11581,11796,12006,|12635,12840,13058,13266,13475,13681,13891,14100,14314,14521,|17271,17486,17699,
137	253	1	2296,2499,2707,2922,3132,3341,3553,3763,3973,
137	254	1	27827,28052,
137	255	1	36758,36985,37221,
139	99	2	54886,55117,55350,|64838,65074,65314,65546,
140	70	5	41705,41923,42140,42370,42597,42823,|43732,43953,|44400,44630,|45071,45293,45520,45748,45974,46202,46421,46649,46877,47103,47330,47556,47787,48019,48250,48482,48714,48942,49173,49402,49623,49850,50081,50306,50533,50767,50998,51226,51453,51679,51908,|52366,52599,52827,53057,53290,53521,53743,53975,54206,54429,54662,54888,55119,
140	99	3	56046,56278,56513,56746,56981,57212,|59063,59296,59530,59763,60004,60239,60477,|62072,62303,
140	168	1	10093,10304,
140	169	1	10730,10939,
141	69	1	6937, 7144, 7355, 7566, 7777, 7990, 8200, 8413, 8628, 8844, 9053, 9257, 9467, 9677, 9887,10094,10305,10517,10731,10940,11153,11367,11582,11797,12007,12219,12426,12636,12842,13059,13267,13476,13682,13892,14101,14318,14522,14731,14941,15148,15360,15565,15776,15990,16204,16418,16628,16840,17054,17272,17490,17703,17919,18137,18352,18562,18779,18994,19208,19424,19639,19856,20075,20289,20508,20735,20954,21176,21395,21613,21838,22055,22279,22497,22718,22947,23174,23394,23614,23837,24058,24282,24500,24720,24938,25160,25387,25605,25830,26053,26275,26497,26717,26943,27164,27381,27604,27829,28054,28267,28494,28716,28943,29171,29399,29624,29846,30069,30293,30518,30739,30955,31166,31380,31596,31808,32021,32239,32465,32687,32907,33133,33355,33585,33816,34047,34277,34509,34740,34962,35189,35417,35642,35868,36094,
141	70	1	38365,38587,
141	106	1	711, 912,1099,1296,1499,1695,1894,2099,2297,2500,2708,2923,3133,3342,3554,3764,3974,
141	107	1	4388,4600,4810,
142	147	11	12427,12639,12843,13060,13270,13477,13683,13895,14104,14319,14523,14732,14942,15152,15361,15568,15778,15992,16205,16421,16630,|18780,18995,|19858,20076,20291,|21839,22057,|27605,27830,|46878,47104,|48483,48715,|51909,52140,|52828,53058,53291,|55351,55584,|56747,56982,
142	148	1	50768,50999,
142	191	4	39483,39709,|42371,42598,42824,43052,43280,43509,43733,43954,44179,44401,44631,44847,|45521,45749,45975,|46422,46650,46879,47105,47331,47557,47789,48020,48251,48484,48716,48943,49174,49403,49624,49851,50082,50307,50534,50769,51000,51227,51455,51680,51910,
142	192	1	40375,40597,40816,41041,41264,
145	106	1	53978,54209,54432,
145	259	2	31385,31600,31813,|46425,46653,
146	113	1	52370,52602,52831,53061,53294,
146	259	2	17058,17277,|20959,21182,
147	110	1	53746,53980,
148	64	1	43736,43957,44182,
148	239	1	6723,6943,7150,7360,7571,7784,
149	43	1	18569,18787,19001,
149	111	1	60941,61177,
150	43	1	16847,17061,
150	149	1	47792,48023,48254,48487,
150	165	1	4394,4606,
150	208	6	311,516,718,|1303,1505,|2714,2929,3139,3348,3560,|10737,10947,|32027,32246,32471,32694,32913,|33361,33591,
151	234	4	8634, 8851, 9060, 9263, 9474, 9684, 9893,10100,10311,10525,10738,10948,11159,11373,11590,11803,12015,12225,12433,12643,12851,13066,13275,13483,13689,13899,14108,14326,14529,14738,14948,15156,15367,15573,15784,15999,16211,16426,16636,16848,17063,17280,17497,17710,17927,18145,18359,18570,18788,19002,19214,19431,19645,19864,20082,20297,20515,20741,20962,21185,21403,21621,21845,22063,22286,22504,22725,22954,23180,23401,23620,23844,24064,24290,24507,24727,24945,25167,25393,25612,25837,26059,|49177,49407,|56283,56518,|57444,57671,57899,58132,
151	235	1	49854,50086,
152	234	5	6297,6514,6724,6945,7151,7364,7573,7787,7996,8206,|26503,26724,26950,27170,27388,27611,27837,28060,28274,|28723,28950,29177,29405,29631,29853,|31173,31388,31603,31816,32028,32247,32472,32695,32914,33139,33362,33592,33822,34053,34284,34515,34746,34969,35195,35423,35648,35874,36101,36323,36543,36765,36992,37229,37455,37679,37905,38143,38371,38593,38818,39041,39264,39488,39713,39935,40158,40379,40601,40820,41045,41268,41487,41710,41927,42144,42375,42602,42828,43056,43284,43512,43737,43958,44183,44404,44634,44850,45075,45296,45524,45753,45978,46205,46426,46654,46882,47108,47334,47560,47793,48024,|58835,59068,59301,59535,59770,60011,60244,60483,60713,60942,61178,61401,61629,61852,62077,62308,
152	235	1	50538,50772,51003,51230,51458,
152	242	1	34970,35196,
155	146	2	21186,21404,|23845,24065,
156	217	2	44407,44636,44852,45078,45298,45526,45755,45982,46211,46428,46656,46886,47110,47336,47562,47795,48027,48257,48491,48720,48947,49179,49409,49628,49858,50089,50313,50540,50774,51007,51232,51462,51686,51916,52145,52373,52607,52834,53063,53297,53527,53750,53982,54211,54437,54667,54894,55125,55358,55591,55820,56054,56286,56520,56753,56990,57218,57446,57673,57901,58134,58361,58595,58839,59070,59303,59537,59773,60014,60246,60486,60715,60944,61180,61405,61631,61854,62079,62311,|63455,63693,63922,64151,64387,
157	59	2	45299,45529,45758,45983,46207,46432,46659,46887,47114,47340,47565,47797,|48948,49182,
157	121	1	26283,26504,26726,26951,27171,27390,27613,27838,28061,28275,28501,28725,28952,29178,29407,29632,29854,30076,30300,30526,30747,30962,31175,31390,31605,31818,32031,32250,32474,32697,32916,33141,33364,33594,33823,34054,34286,34518,34749,34973,35197,35426,35651,35878,36104,36326,36545,36768,36994,37233,37458,37682,37908,38146,38374,38596,38821,39044,39267,39493,39716,39939,40161,40383,40605,40823,41049,41272,41491,41714,41931,42148,42378,42605,42831,43059,43289,43515,43740,43961,44185,44408,44637,44853,45079,45300,45527,45756,45981,46208,46429,46657,46884,47111,47337,47563,
157	122	1	25394,25613,25838,
157	145	2	18361,18572,18790,19004,19216,19433,19647,19866,20085,20299,20517,20743,20964,|21623,21848,22065,22289,22505,22727,22956,23181,23403,23622,
157	178	10	11162,11376,11593,11806,12019,12228,12436,12646,12854,13069,13278,13486,13692,13901,14111,14329,14532,14741,14951,15158,15370,15576,15787,16002,16214,16429,16639,16851,17066,17283,17500,17713,17930,18148,18362,18573,18791,19005,|21624,21846,22066,22290,22507,|25170,25396,25615,|26062,26285,26506,26728,26953,27173,27392,27615,27840,28063,28277,|35427,35652,|37684,37910,|42833,43061,43287,43517,|47113,47339,|55357,55590,55822,56053,|56522,56755,56989,57220,57448,57675,57903,58136,58363,58597,58838,59072,59305,59539,59772,60013,60248,60485,60717,60946,61182,61404,61633,61856,62081,
157	179	11	23184,23404,|29180,29409,|30078,30302,30528,|32476,32699,32918,33143,|38823,39046,39269,39491,|41273,41490,|43963,44187,|46210,46431,|48028,48256,48492,48722,48950,49181,|49857,50088,50311,50542,50776,51006,51234,51461,51685,51918,52147,52374,52605,52833,53065,53296,53528,53749,53984,54213,54439,|62537,62766,62998,63228,63456,63695,63924,64153,64386,64617,64848,65082,
157	196	1	21849,22067,
157	217	1	9687, 9897,10104,10316,10529,10741,10951,11163,11377,11594,11807,12020,12229,12437,12647,12855,13070,13279,13487,13693,13902,14112,14330,14533,14742,14952,15159,15371,15577,15788,16003,16215,16430,16640,16852,17067,17284,17501,17714,17931,18149,18363,18574,18792,19006,19217,19434,19648,19867,20083,20300,20518,20744,20965,21188,21406,21625,21850,22068,22287,22508,22728,22957,23182,23405,23623,23847,24067,24294,24511,24728,24948,25171,25397,25616,25840,26060,26282,26507,26725,26954,27174,27389,27612,27841,28064,28278,28503,28727,28951,29181,29406,29634,29856,30079,30303,30525,30748,30963,31177,31391,31606,31819,32030,32251,32473,32696,32915,33140,33363,33593,33825,34056,34287,34517,34748,34972,35199,35425,35653,35877,36105,36325,36547,36767,36996,37232,37457,37681,37907,38145,38373,38595,38820,39043,39266,39492,39717,39938,40162,40382,40604,40824,41048,41271,41492,41713,41930,42147,42380,42604,42830,43058,43288,43514,43739,43960,
158	59	6	29857,30080,30304,30529,30749,30964,31178,31392,31607,31820,32032,32252,32477,32700,32919,33144,33366,33596,33826,34057,34288,34519,34750,34975,35200,35428,35654,35879,36106,36329,36548,36770,36997,37234,37460,37685,37911,38148,38377,38598,38824,39047,39270,39494,39718,|40163,40385,40606,40825,41050,41274,41493,41715,41932,42149,42381,42607,42834,43062,43290,43518,43742,43964,|44409,44639,44855,|50314,50543,|51235,51463,51687,|52836,53066,53299,53529,53751,53985,54214,54440,54669,54896,55126,55359,55593,55823,56055,56287,56523,56756,56991,57221,57449,57676,57904,58137,58364,58598,58840,59073,59306,
158	179	1	23850,24070,24293,24510,24731,
158	252	2	26731,26956,|32478,32702,32921,33145,33367,33597,33827,34058,34289,34521,34751,34977,35201,35429,35655,35880,36108,
158	253	1	21627,21852,22070,22292,22511,22730,22960,23186,23407,23626,23851,24071,24296,24513,24733,24950,25173,25399,25618,25843,26064,26288,
159	92	2	11166,11380,11597,11810,12023,12232,12440,12649,12858,13073,13282,13489,13695,13906,14115,14333,14536,14744,|15163,15374,15580,15791,16005,16218,16433,16643,16855,17070,17286,17504,17717,17933,18152,18366,18577,18795,19009,19220,19437,19651,19870,20088,20303,20521,20747,20968,21190,21408,21628,21853,22071,22293,22510,22731,22959,23187,23408,23625,23849,24069,24297,24514,24734,24951,25174,25400,25619,25842,26065,26289,26509,26730,26957,
161	32	3	1111,1310,1512,1707,|3986,4191,4402,4614,4823,5030,5239,5445,5654,|9067,9271,
161	211	2	19221,19438,|26732,26958,
161	295	5	47342,47567,47799,48030,48261,48494,48724,48952,49184,49412,49632,|50546,50778,51009,51237,51465,|56057,56289,|58600,58842,59075,59308,59541,59776,60017,60251,60489,|63697,63926,
162	31	1	320,525,725,
162	44	1	63230,63458,63698,
162	85	1	31609,31822,
162	112	2	20304,20522,20748,|51466,51690,
162	115	1	49633,49860,50092,50316,50545,
162	295	1	31394,31610,31823,32034,32255,32480,32703,32922,33147,33369,33599,33829,34060,34292,34522,34753,34978,35203,35431,35657,35883,36109,36331,36550,36772,36999,37237,37463,37688,37914,38150,38379,38600,38826,39049,39272,39496,39720,39942,40165,40387,40608,40827,41052,41276,41496,41717,41934,42151,42383,42609,42836,43064,43292,43520,43744,43966,44189,44411,44641,44857,45082,45303,45531,45762,45985,46213,46434,46661,46889,
163	44	3	38380,38601,38827,39050,39273,39497,39721,39943,|40388,40609,40828,41053,41277,41497,41718,41935,42152,42384,42610,42837,43065,43293,43521,43745,43967,44190,44412,44642,44858,45083,45304,45532,45763,45986,|64155,64391,64619,
163	45	4	46662,46890,47116,47343,47568,47800,48031,48262,48495,48725,48953,49185,49413,49634,|50779,51011,51238,|52150,52377,52610,52839,53071,|53531,53754,53987,54216,54442,54672,54899,55129,55362,55595,55825,56059,56291,56525,56759,56994,57223,57451,57678,57906,58140,58367,58602,58843,59076,59310,59543,59777,60018,60252,60490,60720,
163	71	1	25402,25622,25845,26067,26291,
163	72	1	26734,26960,27176,27395,27620,27844,28068,
163	139	3	26511,26735,26961,27178,|27621,27846,28069,28284,28509,28734,28958,29185,|29637,29860,30083,30309,30532,30752,30967,31182,
163	140	1	24736,24953,25176,25403,
163	209	1	28731,28959,29186,29413,29638,29861,30084,30307,30533,30753,30968,31183,31396,31612,31825,32036,32257,32482,32705,32924,33149,33371,33601,33831,34062,34294,34524,34755,34980,35205,35433,35659,35885,36111,36333,36552,36774,37001,37239,37465,37690,37916,38151,38382,38602,38829,39051,39274,39498,39723,39944,40166,40389,40610,40829,41054,41278,41498,41720,41936,42153,42385,42611,42838,43067,43294,43522,43746,43968,44191,44413,44643,44859,45084,45305,45533,45764,45987,46214,46435,46663,46892,47117,47344,47569,47801,48032,48263,48496,48726,48954,49186,49414,49635,49861,50094,50318,50547,50781,51012,51239,51467,51692,51921,
